BR,HR,RRI,MOVING,DETECT,NO_ONE,STABLE
0.000147746,109.09,0.55,Y,Y,Y,Y
0.00000719,80,0.75,Y,Y,Y,Y
-0.000127849,70.59,0.85,Y,Y,Y,Y
-0.00026011,200,0.3,Y,Y,Y,Y
-0.000414588,54.55,1.1,Y,Y,Y,Y
-0.00061438,63.16,0.95,Y,Y,Y,Y
-0.000856865,70.59,0.85,Y,Y,Y,Y
-0.001120357,52.17,1.15,Y,Y,Y,Y
-0.001378876,48,1.25,Y,Y,Y,Y
-0.001618223,70.59,0.85,Y,Y,Y,Y
-0.001881773,75,0.8,Y,Y,Y,Y
-0.002221354,109.09,0.55,Y,Y,Y,Y
-0.002549874,60,1,Y,Y,Y,Y
-0.002732406,75,0.8,Y,Y,Y,Y
-0.002778824,75,0.8,Y,Y,Y,Y
-0.002783071,70.59,0.85,Y,Y,Y,Y
-0.002780326,109.09,0.55,Y,Y,Y,Y
-0.002733547,52.17,1.15,Y,Y,Y,Y
-0.00259298,66.67,0.9,Y,Y,Y,Y
-0.002339246,70.59,0.85,Y,Y,Y,Y
-0.001989567,70.59,0.85,Y,Y,Y,Y
-0.001568022,70.59,0.85,Y,Y,Y,Y
-0.001084394,70.59,0.85,Y,Y,Y,Y
-0.000542487,75,0.8,Y,Y,Y,Y
0.0000757,75,0.8,Y,Y,Y,Y
0.000800754,70.59,0.85,Y,Y,Y,Y
0.001597636,70.59,0.85,Y,Y,Y,Y
0.002378017,75,0.8,Y,Y,Y,Y
0.00313169,75,0.8,Y,Y,Y,Y
0.003911344,66.67,0.9,Y,Y,Y,Y
0.004703004,70.59,0.85,Y,Y,Y,Y
0.00543267,66.67,0.9,Y,Y,Y,Y
0.006036312,70.59,0.85,Y,Y,Y,Y
0.006492866,38.71,1.55,Y,Y,Y,Y
0.006823831,75,0.8,Y,Y,Y,Y
0.007047691,109.09,0.55,Y,Y,Y,Y
0.00714181,240,0.25,Y,Y,Y,Y
0.007065395,70.59,0.85,Y,Y,Y,Y
0.00677756,44.44,1.35,Y,Y,Y,Y
0.006235212,50,1.2,Y,Y,Y,Y
0.005414253,41.38,1.45,Y,Y,Y,Y
0.004338518,75,0.8,Y,Y,Y,Y
0.003113456,75,0.8,Y,Y,Y,Y
0.001870036,66.67,0.9,Y,Y,Y,Y
0.000655752,70.59,0.85,Y,Y,Y,Y
-0.000557475,70.59,0.85,Y,Y,Y,Y
-0.001786593,109.09,0.55,Y,Y,Y,Y
-0.00298458,60,1,Y,Y,Y,Y
-0.004077271,75,0.8,Y,Y,Y,Y
-0.005035317,100,0.6,Y,Y,Y,Y
-0.005866222,60,1,Y,Y,Y,Y
-0.006574513,80,0.75,Y,Y,Y,Y
-0.007164836,100,0.6,Y,Y,Y,Y
-0.007643202,52.17,1.15,Y,Y,Y,Y
-0.008001873,70.59,0.85,Y,Y,Y,Y
-0.008237655,75,0.8,Y,Y,Y,Y
-0.008367649,75,0.8,Y,Y,Y,Y
-0.008384489,70.59,0.85,Y,Y,Y,Y
-0.008263752,66.67,0.9,Y,Y,Y,Y
-0.008022934,75,0.8,Y,Y,Y,Y
-0.007709425,70.59,0.85,Y,Y,Y,Y
-0.007350365,35.29,1.7,Y,Y,Y,Y
-0.006926278,75,0.8,Y,Y,Y,Y
-0.006419022,40,1.5,Y,Y,Y,Y
-0.005854854,70.59,0.85,Y,Y,Y,Y
-0.00525666,200,0.3,Y,Y,Y,Y
-0.004631516,80,0.75,Y,Y,Y,Y
-0.003994651,109.09,0.55,Y,Y,Y,Y
-0.003364412,15.38,3.9,Y,Y,Y,Y
-0.002750698,109.09,0.55,Y,Y,Y,Y
-0.00216509,66.67,0.9,Y,Y,Y,Y
-0.00162556,66.67,0.9,Y,Y,Y,Y
-0.001098819,75,0.8,Y,Y,Y,Y
-0.000530493,75,0.8,Y,Y,Y,Y
0.0000499,70.59,0.85,Y,Y,Y,Y
0.000573866,66.67,0.9,Y,Y,Y,Y
0.001019623,70.59,0.85,Y,Y,Y,Y
0.001398377,70.59,0.85,Y,Y,Y,Y
0.001739778,75,0.8,Y,Y,Y,Y
0.002070159,70.59,0.85,Y,Y,Y,Y
0.000341573,46.15,1.3,Y,Y,Y,Y
0.000408828,92.31,0.65,Y,Y,Y,Y
0.00040398,85.71,0.7,Y,Y,Y,Y
0.000373625,85.71,0.7,Y,Y,Y,Y
0.000395658,92.31,0.65,Y,Y,Y,Y
0.000453818,85.71,0.7,Y,Y,Y,Y
0.000496075,85.71,0.7,Y,Y,Y,Y
0.000518273,85.71,0.7,Y,Y,Y,Y
0.000538509,44.44,1.35,Y,Y,Y,Y
0.000572208,85.71,0.7,Y,Y,Y,Y
0.000633097,85.71,0.7,Y,Y,Y,Y
0.000722947,85.71,0.7,Y,Y,Y,Y
0.000823289,44.44,1.35,Y,Y,Y,Y
0.000906191,92.31,0.65,Y,Y,Y,Y
0.000962802,44.44,1.35,Y,Y,Y,Y
0.001009763,92.31,0.65,Y,Y,Y,Y
0.001085651,52.17,1.15,Y,Y,Y,Y
0.001183019,66.67,0.9,Y,Y,Y,Y
0.001221376,44.44,1.35,Y,Y,Y,Y
0.001200745,85.71,0.7,Y,Y,Y,Y
0.00121836,85.71,0.7,Y,Y,Y,Y
0.001297501,63.16,0.95,Y,Y,Y,Y
0.001375126,60,1,Y,Y,Y,Y
0.001409539,92.31,0.65,Y,Y,Y,Y
0.001403289,85.71,0.7,Y,Y,Y,Y
0.00138252,46.15,1.3,Y,Y,Y,Y
0.001370234,85.71,0.7,Y,Y,Y,Y
0.001370137,92.31,0.65,Y,Y,Y,Y
0.001372731,85.71,0.7,Y,Y,Y,Y
0.001345683,44.44,1.35,Y,Y,Y,Y
0.001264683,92.31,0.65,Y,Y,Y,Y
0.001152936,85.71,0.7,Y,Y,Y,Y
0.001035743,46.15,1.3,Y,Y,Y,Y
0.000867981,44.44,1.35,Y,Y,Y,Y
0.000599734,63.16,0.95,Y,Y,Y,Y
0.000291592,171.43,0.35,Y,Y,Y,Y
0.0000238,44.44,1.35,Y,Y,Y,Y
-0.000218585,85.71,0.7,Y,Y,Y,Y
-0.000483109,92.31,0.65,Y,Y,Y,Y
-0.000768703,92.31,0.65,Y,Y,Y,Y
-0.001044587,92.31,0.65,Y,Y,Y,Y
-0.00129278,44.44,1.35,Y,Y,Y,Y
-0.001500563,85.71,0.7,Y,Y,Y,Y
-0.001656099,46.15,1.3,Y,Y,Y,Y
-0.001763691,46.15,1.3,Y,Y,Y,Y
-0.001847985,92.31,0.65,Y,Y,Y,Y
-0.001929087,100,0.6,Y,Y,Y,Y
-0.001978399,92.31,0.65,Y,Y,Y,Y
-0.001967297,85.71,0.7,Y,Y,Y,Y
-0.001947102,92.31,0.65,Y,Y,Y,Y
-0.001946322,44.44,1.35,Y,Y,Y,Y
-0.001898853,85.71,0.7,Y,Y,Y,Y
-0.001777609,80,0.75,Y,Y,Y,Y
-0.001630144,85.71,0.7,Y,Y,Y,Y
-0.001488963,85.71,0.7,Y,Y,Y,Y
-0.001354567,92.31,0.65,Y,Y,Y,Y
-0.001210831,85.71,0.7,Y,Y,Y,Y
-0.001048419,85.71,0.7,Y,Y,Y,Y
-0.000883261,85.71,0.7,Y,Y,Y,Y
-0.000721433,46.15,1.3,Y,Y,Y,Y
-0.000561441,85.71,0.7,Y,Y,Y,Y
-0.000417523,92.31,0.65,Y,Y,Y,Y
-0.000279674,85.71,0.7,Y,Y,Y,Y
-0.000122601,66.67,0.9,Y,Y,Y,Y
0.0000211,52.17,1.15,Y,Y,Y,Y
0.000089,85.71,0.7,Y,Y,Y,Y
0.000103664,85.71,0.7,Y,Y,Y,Y
0.000153679,92.31,0.65,Y,Y,Y,Y
0.000256782,60,1,Y,Y,Y,Y
0.00035465,85.71,0.7,Y,Y,Y,Y
0.000418658,85.71,0.7,Y,Y,Y,Y
0.000457929,150,0.4,Y,Y,Y,Y
0.000482114,85.71,0.7,Y,Y,Y,Y
0.000508635,92.31,0.65,Y,Y,Y,Y
0.000549751,92.31,0.65,Y,Y,Y,Y
0.000593035,85.71,0.7,Y,Y,Y,Y
0.000616567,92.31,0.65,Y,Y,Y,Y
0.00061596,85.71,0.7,Y,Y,Y,Y
0.00060382,85.71,0.7,Y,Y,Y,Y
0.000599753,44.44,1.35,Y,Y,Y,Y
0.00061164,100,0.6,Y,Y,Y,Y
0.00059432,171.43,0.35,Y,Y,Y,Y
0.000499911,3.09,19.4,Y,Y,Y,Y
0.000384623,52.17,1.15,Y,Y,Y,Y
0.000337053,92.31,0.65,Y,Y,Y,Y
0.000340148,66.67,0.9,Y,Y,Y,Y
0.00033135,48,1.25,Y,Y,Y,Y
0.000298673,75,0.8,Y,Y,Y,Y
0.000251657,70.59,0.85,Y,Y,Y,Y
0.000208777,200,0.3,Y,Y,Y,Y
0.000195545,48,1.25,Y,Y,Y,Y
0.000218021,70.59,0.85,Y,Y,Y,Y
0.00025584,75,0.8,Y,Y,Y,Y
0.000281407,80,0.75,Y,Y,Y,Y
0.000299444,52.17,1.15,Y,Y,Y,Y
0.000335107,40,1.5,Y,Y,Y,Y
0.000399037,70.59,0.85,Y,Y,Y,Y
0.000493353,70.59,0.85,Y,Y,Y,Y
0.000589274,66.67,0.9,Y,Y,Y,Y
0.000625801,66.67,0.9,Y,Y,Y,Y
0.000619661,52.17,1.15,Y,Y,Y,Y
0.000671225,100,0.6,Y,Y,Y,Y
0.000800835,200,0.3,Y,Y,Y,Y
0.000933451,40,1.5,Y,Y,Y,Y
0.0010209,70.59,0.85,Y,Y,Y,Y
0.001072274,66.67,0.9,Y,Y,Y,Y
0.001127294,70.59,0.85,Y,Y,Y,Y
0.001213076,66.67,0.9,Y,Y,Y,Y
0.001321939,66.67,0.9,Y,Y,Y,Y
0.001424701,70.59,0.85,Y,Y,Y,Y
0.001499456,200,0.3,Y,Y,Y,Y
0.001553473,70.59,0.85,Y,Y,Y,Y
0.001598221,100,0.6,Y,Y,Y,Y
0.001652176,66.67,0.9,Y,Y,Y,Y
0.00172457,109.09,0.55,Y,Y,Y,Y
0.001756152,48,1.25,Y,Y,Y,Y
0.001699992,70.59,0.85,Y,Y,Y,Y
0.001623192,70.59,0.85,Y,Y,Y,Y
0.001591021,70.59,0.85,Y,Y,Y,Y
0.00155631,54.55,1.1,Y,Y,Y,Y
0.001455522,171.43,0.35,Y,Y,Y,Y
0.001286632,1.85,32.45,Y,Y,Y,Y
0.001069386,54.55,1.1,Y,Y,Y,Y
0.000821137,300,0.2,Y,Y,Y,Y
0.000561002,60,1,Y,Y,Y,Y
0.000287415,85.71,0.7,Y,Y,Y,Y
-0.0000242,60,1,Y,Y,Y,Y
-0.000382226,120,0.5,Y,Y,Y,Y
-0.000741132,70.59,0.85,Y,Y,Y,Y
-0.001059949,75,0.8,Y,Y,Y,Y
-0.001380319,75,0.8,Y,Y,Y,Y
-0.001719636,70.59,0.85,Y,Y,Y,Y
-0.002016604,60,1,Y,Y,Y,Y
-0.002250963,63.16,0.95,Y,Y,Y,Y
-0.002460849,66.67,0.9,Y,Y,Y,Y
-0.002664321,70.59,0.85,Y,Y,Y,Y
-0.002841547,63.16,0.95,Y,Y,Y,Y
-0.002966166,66.67,0.9,Y,Y,Y,Y
-0.003033469,100,0.6,Y,Y,Y,Y
-0.003053555,46.15,1.3,Y,Y,Y,Y
-0.003031876,120,0.5,Y,Y,Y,Y
-0.002978872,28.57,2.1,Y,Y,Y,Y
-0.002908119,120,0.5,Y,Y,Y,Y
-0.002813624,70.59,0.85,Y,Y,Y,Y
-0.002696342,66.67,0.9,Y,Y,Y,Y
-0.002588463,66.67,0.9,Y,Y,Y,Y
-0.002484529,66.67,0.9,Y,Y,Y,Y
-0.002326954,75,0.8,Y,Y,Y,Y
-0.002113903,70.59,0.85,Y,Y,Y,Y
-0.001901523,150,0.4,Y,Y,Y,Y
-0.001707192,133.33,0.45,Y,Y,Y,Y
-0.001518719,66.67,0.9,Y,Y,Y,Y
-0.00133134,54.55,1.1,Y,Y,Y,Y
-0.001136949,171.43,0.35,Y,Y,Y,Y
-0.000932878,150,0.4,Y,Y,Y,Y
-0.00073341,50,1.2,Y,Y,Y,Y
-0.000556007,240,0.25,Y,Y,Y,Y
-0.000410116,66.67,0.9,Y,Y,Y,Y
-0.00028796,75,0.8,Y,Y,Y,Y
-0.000161819,100,0.6,Y,Y,Y,Y
-0.0000443,200,0.3,Y,Y,Y,Y
0.0000218,63.16,0.95,Y,Y,Y,Y
0.0000698,66.67,0.9,Y,Y,Y,Y
0.000158357,70.59,0.85,Y,Y,Y,Y
0.000269364,80,0.75,Y,Y,Y,Y
0.000362654,75,0.8,Y,Y,Y,Y
0.00043253,150,0.4,Y,Y,Y,Y
0.000487446,133.33,0.45,Y,Y,Y,Y
0.000539695,70.59,0.85,Y,Y,Y,Y
0.000602167,80,0.75,Y,Y,Y,Y
0.000674767,80,0.75,Y,Y,Y,Y
0.000747046,66.67,0.9,Y,Y,Y,Y
0.000803242,66.67,0.9,Y,Y,Y,Y
0.000834425,63.16,0.95,Y,Y,Y,Y
0.000858365,66.67,0.9,Y,Y,Y,Y
0.000901495,70.59,0.85,Y,Y,Y,Y
0.000936496,66.67,0.9,Y,Y,Y,Y
0.000902907,66.67,0.9,Y,Y,Y,Y
0.000832615,70.59,0.85,Y,Y,Y,Y
0.000817482,70.59,0.85,Y,Y,Y,Y
0.000858531,66.67,0.9,Y,Y,Y,Y
0.000896898,66.67,0.9,Y,Y,Y,Y
0.000909054,66.67,0.9,Y,Y,Y,Y
0.000893697,200,0.3,Y,Y,Y,Y
0.000868069,109.09,0.55,Y,Y,Y,Y
0.000862387,75,0.8,Y,Y,Y,Y
0.000882503,66.67,0.9,Y,Y,Y,Y
0.000909009,52.17,1.15,Y,Y,Y,Y
0.000917687,80,0.75,Y,Y,Y,Y
0.000899914,109.09,0.55,Y,Y,Y,Y
0.000874613,70.59,0.85,Y,Y,Y,Y
0.000869026,70.59,0.85,Y,Y,Y,Y
0.000890059,57.14,1.05,Y,Y,Y,Y
0.000896809,109.09,0.55,Y,Y,Y,Y
0.000824362,66.67,0.9,Y,Y,Y,Y
0.000704964,50,1.2,Y,Y,Y,Y
0.000649143,109.09,0.55,Y,Y,Y,Y
0.000665204,70.59,0.85,Y,Y,Y,Y
